replicate_num,horm_conc,Cell Cycle Stage,Moth_ID,Position_n,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_20,0,ASY39-1_0nM-21,2020/07/28 10:29:33.535,0.0,8378.0,37.890028625,0.5718574108818011,381417.8200162361,116.0053037681003,0.4376572044192772,S,-1,4,16895,26.743042703125,0,5,mother,1,0,0.0907306320295665,0.2513306297308126,,1134.0235294117645,2021/11/18 10:20:26.619
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_23,0,ASY39-1_0nM-24,2020/07/28 10:32:11.202,0.0,8214.0,37.148328375,0.342156862745098,393021.1116447828,119.5343558979198,0.2182772850222867,S,-1,1,14489,22.934592821875,0,5,mother,3,0,0.1499398176511278,0.1972138188495643,,1633.8352941176474,2021/11/18 10:20:41.243
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_25,0,ASY39-1_0nM-26,2020/07/28 10:34:12.510,0.0,6596.0,29.83082225,0.4121173196317705,283174.3369436122,86.12530210328342,0.2784241920977583,S,-1,2,10641,16.843605646875,0,5,mother,3,0,0.1170709845173191,0.3049132199545908,-0.9453556605123792,886.2784313725491,2021/11/18 10:20:49.627
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_26,0,ASY39-1_0nM-27,2020/07/28 10:35:07.773,0.0,10195.0,46.1075246875,0.5646101903007981,519111.92484215903,157.8839093789443,0.4331184025011851,S,-1,2,23570,37.30887934375,0,4,mother,4,0,0.1261400376536709,0.1728200116997792,76.75686274509803,2128.929411764706,2021/11/18 10:20:55.354
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_27,0,ASY39-1_0nM-28,2020/07/28 10:36:00.649,0.0,8782.0,39.717143875000005,0.1380069975379033,489954.0223865893,149.01575704286572,0.0530280816223516,S,-1,5,22470,35.56769278125,0,3,mother,4,0,0.0604459205525201,0.1289967014503263,,790.7176470588236,2021/11/18 10:21:01.890
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_3,0,ASY39-1_0nM-04,2020/07/28 09:19:15.360,0.0,13092.0,59.20938825,0.1335064935064935,947027.8285664908,288.031248579376,0.0475570766275044,S,-1,3,29266,46.32505994375,0,5,mother,4,0,0.0770463168242524,0.1498215840224879,,1475.6745098039216,2021/11/18 10:18:58.350
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_30,0,ASY39-1_0nM-31,2020/07/28 10:39:06.582,0.0,9125.0,41.26838281250001,0.6866913123844732,416544.49076598615,126.68881118920962,0.5930731048210074,S,-1,1,18094,28.64093605625,0,5,mother,1,0,0.0709939050005415,0.1915653168247224,,911.498039215686,2021/11/18 10:21:16.409
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_33,0,ASY39-1_0nM-34,2020/07/28 10:41:45.064,0.0,6599.0,29.844389937500004,0.407636518771331,266993.1993226893,81.20393323554491,0.2967585632896081,S,-1,3,15708,24.8641441125,0,3,mother,1,0,0.0754982639398151,0.1324554046148209,28.590926005438668,730.3254901960786,2021/11/18 10:21:32.080
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_34,0,ASY39-1_0nM-35,2020/07/28 10:42:47.829,0.0,9009.0,40.7437655625,0.3048957126303592,444903.57023178414,135.31400764141932,0.1905768976431138,S,-1,1,20988,33.2218396125,0,4,mother,1,0,0.0652275650217246,0.1418732784584974,,659.3882352941173,2021/11/18 10:21:37.619
2020-07-28_ASY39-1_1,SCD_0nM,S,2,Position_35,0,ASY39-1_0nM-36,2020/07/28 10:43:37.189,0.0,7353.0,33.2544020625,0.6033580462276493,304047.3338158262,92.47366396694444,0.5131599306066118,S,-1,2,15954,25.25353674375,0,2,mother,1,0,0.1540653787918505,0.208456962455315,,1723.027450980392,2021/11/18 10:21:41.861
