replicate,Position_n,Moth_ID,Unnamed: 0,Cell Cycle Stage,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,num_spots_inside_ref_ch,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime,ratio_num_spots_bud_moth,strain,genotype,mtnet_skeleton_length_voxels
2022-12-14,Position_31,6,139,S,0,YFT006-31,2022/12/21 14:14:59.517,0.0,13043.0,58.9877826875,0.6246885899352267,681238.31806046,207.19340806286755,0.5348006535587985,S,2.0,21,22377,35.420483371875,0,2,mother,5.0,0,43,0.1068328050713194,0.1017651925844794,257.5647058823529,1820.9254901960785,2022/12/21 14:15:09.746,0.5,YFT006,WT,384
2022-12-14,Position_32,1,46,S,0,YFT006-32,2022/12/21 14:15:12.190,0.0,10027.0,45.34773418750001,0.6146537842190016,496218.7545661958,150.9211272730508,0.5250398887578626,S,2.0,13,17896,28.327522475,0,3,mother,2.0,0,40,0.0845099213867222,0.1008396266205439,99.372452736901,1148.9529411764706,2022/12/21 14:15:21.885,0.1818181818181818,YFT006,WT,336
2022-12-14,Position_32,6,140,S,0,YFT006-32,2022/12/21 14:15:12.190,0.0,13085.0,59.17773031250001,0.6444639939675757,740952.1779062611,225.3549204176995,0.5452913304827408,S,2.0,9,25049,39.649983821875,0,2,mother,5.0,0,42,0.098084221789427,0.1067926468757644,100.64678688993844,1695.8235294117646,2022/12/21 14:15:21.885,0.8,YFT006,WT,390
2022-12-14,Position_33,3,8,G1,0,YFT006-33,2022/12/21 14:15:23.390,0.0,5806.0,26.257997875000004,0.0,311949.19881753647,94.87695558509408,0.0,G1,2.0,3,9833,15.564624971875,0,1,mother,-1.0,0,14,0.1159858943570244,0.1317758892137484,13.3921568627451,797.1294117647059,2022/12/21 14:15:33.758,,YFT006,WT,110
2022-12-14,Position_33,5,21,G1,0,YFT006-33,2022/12/21 14:15:23.390,0.0,7156.0,32.36345725,0.0,423124.6477052296,128.69011544013898,0.0,G1,2.0,2,13100,20.7359490625,0,1,mother,-1.0,0,21,0.1306592787063862,0.147278657335236,21.48627450980392,1214.094117647059,2022/12/21 14:15:33.758,,YFT006,WT,149
2022-12-14,Position_33,6,141,S,0,YFT006-33,2022/12/21 14:15:23.390,0.0,12501.0,56.53655381250001,0.7719347980155917,679740.2856193618,206.73779298862524,0.6766841620312332,S,2.0,23,18535,29.338993578125,0,4,mother,4.0,0,38,0.1187938426979753,0.1167269536285658,305.1842674857702,1862.478431372549,2022/12/21 14:15:33.758,0.7692307692307693,YFT006,WT,274
2022-12-14,Position_34,3,84,S,0,YFT006-34,2022/12/21 14:15:36.243,0.0,11358.0,51.367264875,0.7612032873313692,586952.7365704766,178.51717179988458,0.6681398827624588,S,2.0,7,18781,29.728386209375,0,3,mother,1.0,0,38,0.0835788262016006,0.1011361718006637,,1236.356862745098,2022/12/21 14:15:46.649,0.0,YFT006,WT,296
2022-12-14,Position_34,5,22,G1,0,YFT006-34,2022/12/21 14:15:36.243,0.0,6449.0,29.166005562500004,0.0,333862.03786178574,101.54157746784044,0.0,G1,2.0,11,10270,16.25635090625,0,3,mother,-1.0,0,20,0.0920993161577122,0.0999827427449821,132.9744486513915,652.956862745098,2022/12/21 14:15:46.649,,YFT006,WT,124
2022-12-14,Position_34,6,25,G1,0,YFT006-34,2022/12/21 14:15:36.243,0.0,4851.0,21.938950687500004,0.0,233081.9954356429,70.89010073581707,0.0,G1,2.0,4,8687,13.750625153125,0,2,mother,-1.0,0,17,0.1116440454931059,0.1092701807396724,49.26274509803922,702.7882352941176,2022/12/21 14:15:46.649,,YFT006,WT,136
2022-12-14,Position_35,5,126,S,0,YFT023-01,2022/12/21 14:15:48.293,0.0,11072.0,50.073812,0.508035957504767,574362.7211131029,174.68801518754924,0.3966303787262877,S,2.0,3,14713,23.289161721875,0,2,mother,8.0,0,15,0.121017081405574,0.1454808335581526,60.09411764705881,1277.776470588235,2022/12/21 14:15:52.717,0.5,YFT023,mutant,162
2022-12-14,Position_35,7,28,G1,0,YFT023-01,2022/12/21 14:15:48.293,0.0,6929.0,31.336835562500003,0.0,384461.31321096106,116.93095887397656,0.0,G1,2.0,3,10760,17.031970375,0,1,mother,-1.0,0,10,0.1407438966879755,0.1450713218855323,82.13333333333333,1202.729411764706,2022/12/21 14:15:52.717,,YFT023,mutant,91
2022-12-14,Position_36,5,127,S,0,YFT023-02,2022/12/21 14:15:54.685,0.0,12676.0,57.32800225000001,0.7187796610169491,705666.4059132223,214.6230235740488,0.6112518090561051,S,2.0,0,20060,31.7529113125,0,2,mother,7.0,0,23,0.1618033446132163,0.1981010195870823,,2108.121568627451,2022/12/21 14:16:00.788,,YFT023,mutant,156
2022-12-14,Position_36,6,142,S,0,YFT023-02,2022/12/21 14:15:54.685,0.0,12119.0,54.80893493750001,0.3291291949989032,706438.6289628461,214.8578892901931,0.2023484057479947,S,2.0,3,11733,18.572129034375003,0,4,mother,9.0,0,10,0.2183551577799513,0.2074924054048736,104.48461428366964,2277.392156862745,2022/12/21 14:16:00.788,0.5,YFT023,mutant,80
