replicate,Position_n,Moth_ID,Unnamed: 1,cell_cycle_stage,frame_i,original_filename,timestamp,time_min,cell_area_pxl,cell_area_um2,ratio_areas_bud_moth,cell_vol_vox,cell_vol_fl,ratio_volumes_bud_moth,predicted_cell_cycle_stage,generation_num,num_spots,ref_ch_vol_vox,ref_ch_vol_um3,ref_ch_vol_len_um,ref_ch_num_fragments,relationship,relative_ID,OF,num_spots_inside_ref_ch,spots_ch_norm_val,ref_ch_norm_val,spotsize_tot_fluoresc,spots_INref_tot_fluoresc,creation_datetime,ratio_num_spots_bud_moth,strain,genotype,mtnet_skeleton_length_voxels
2022-11-11,Position_14,5,56.0,G1,0.0,YFT006-14,2022/12/02 12:02:56.172,0.0,4617.0,20.880671062500003,0.0,230136.6188577881,69.99428704622346,0.0,G1,2.0,24.0,23749.0,37.592217884375,0.0,6.0,mother,-1.0,0.0,40.0,0.1265026010674748,0.1616318927101931,425.0196078431372,2332.96862745098,2022/12/02 12:03:14.603,,YFT006,WT,500.0
2022-11-11,Position_14,8,76.0,G1,0.0,YFT006-14,2022/12/02 12:02:56.172,0.0,5346.0,24.177619125000003,0.0,240893.2990157668,73.2658487923671,0.0,G1,2.0,34.0,19197.0,30.386871309375,0.0,4.0,mother,-1.0,0.0,44.0,0.0760411455973067,0.1411135581834954,349.5855694375878,986.7411764705884,2022/12/02 12:03:14.603,,YFT006,WT,653.0
2022-11-11,Position_15,5,153.0,S,0.0,YFT006-15,2022/12/02 12:03:15.330,0.0,5008.0,22.648993000000004,0.0825767401642888,223057.78883962764,67.84131520409902,0.02095193506957,S,2.0,23.0,19505.0,30.874403546875,0.0,2.0,mother,9.0,0.0,37.0,0.1135955951548771,0.1941928495486195,,1535.964705882353,2022/12/02 12:03:35.701,0.0,YFT006,WT,438.0
2022-11-11,Position_15,6,162.0,S,0.0,YFT006-15,2022/12/02 12:03:15.330,0.0,8758.0,39.608602375,0.6357863279790811,411219.0687308611,125.06912493319852,0.4573763381975231,S,2.0,38.0,36598.0,57.93085983125,0.0,4.0,mother,8.0,0.0,77.0,0.0910826792188795,0.1908207425409449,341.6802520742367,1809.5607843137248,2022/12/02 12:03:35.701,0.52,YFT006,WT,884.0
2022-11-11,Position_15,7,72.0,G1,0.0,YFT006-15,2022/12/02 12:03:15.330,0.0,3408.0,15.412893000000002,0.0,143211.15858687775,43.55657518609159,0.0,G1,2.0,18.0,15328.0,24.2626433,0.0,1.0,mother,-1.0,0.0,31.0,0.1151460827512757,0.1944339705483367,231.5336354817677,1305.1529411764711,2022/12/02 12:03:35.701,,YFT006,WT,298.0
2022-11-11,Position_16,2,104.0,S,0.0,YFT006-16,2022/12/02 12:03:36.440,0.0,7203.0,32.5760176875,0.6132138857782755,299604.2489940971,91.12233380520692,0.4857804023967476,S,2.0,36.0,25453.0,40.289474159375,0.0,2.0,mother,1.0,0.0,59.0,0.1017731234489479,0.1687730604195063,437.258393712391,2095.317647058824,2022/12/02 12:03:56.973,0.2857142857142857,YFT006,WT,620.0
2022-11-11,Position_16,3,127.0,S,0.0,YFT006-16,2022/12/02 12:03:36.440,0.0,5784.0,26.158501500000003,0.3388888888888889,242333.6639316336,73.70392473122843,0.1860405615440692,S,2.0,32.0,25324.0,40.0852804625,0.0,4.0,mother,4.0,0.0,56.0,0.1133929699770238,0.1840022981077698,372.1706101323777,2074.596078431372,2022/12/02 12:03:56.973,0.1034482758620689,YFT006,WT,519.0
2022-11-11,Position_17,4,45.0,G1,0.0,YFT006-17,2022/12/02 12:03:57.855,0.0,3638.0,16.453082375,0.0,154466.83073242087,46.9799015170488,0.0,G1,2.0,20.0,16555.0,26.204857765625,0.0,7.0,mother,-1.0,0.0,33.0,0.0970238010581898,0.1496763746113135,217.5882352941176,1135.9176470588234,2022/12/02 12:04:16.867,,YFT006,WT,485.0
2022-11-11,Position_17,5,57.0,G1,0.0,YFT006-17,2022/12/02 12:03:57.855,0.0,4361.0,19.7228950625,0.0,186744.39743084408,56.7968757989172,0.0,G1,2.0,17.0,16546.0,26.19061169375,0.0,2.0,mother,-1.0,0.0,32.0,0.1014920575060283,0.1519686456773838,198.62041745730548,1076.7098039215684,2022/12/02 12:04:16.867,,YFT006,WT,410.0
2022-11-11,Position_17,6,65.0,G1,0.0,YFT006-17,2022/12/02 12:03:57.855,0.0,4045.0,18.293765312500003,0.0,166576.11012751498,50.66284594418881,0.0,G1,2.0,25.0,18080.0,28.6187755,0.0,5.0,mother,-1.0,0.0,38.0,0.0849539641189399,0.1450607615355037,223.44176659842057,860.3921568627453,2022/12/02 12:04:16.867,,YFT006,WT,564.0
