exp_folder,Position_n,Cell_ID,category,mKate_stain_index,mNeon_inside_cell_stain_index
2022-08-24,Position_29,2,Neg. control,0.7833229305500534,1.2766286411931684
2022-08-24,Position_29,3,Neg. control,0.614293974033069,1.368328961244536
2022-08-24,Position_30,3,Neg. control,0.6993828268477517,1.8818833970156084
2022-08-24,Position_30,4,Neg. control,0.6539956909053037,1.3071392640741464
2022-08-24,Position_32,2,Neg. control,0.6293034881163542,1.7893575011530138
2022-08-24,Position_32,4,Neg. control,0.6176265931846232,1.6189548651865502
2022-08-24,Position_33,1,Neg. control,0.7567561907127549,1.515057724901868
2022-08-24,Position_33,2,Neg. control,0.7500606875289728,1.367558751556171
2022-08-25,Position_1,3,Neg. control,0.1834436304146072,0.5103717428594498
2022-08-25,Position_1,4,Neg. control,0.0,0.8258577339921989
2022-08-25,Position_2,2,Neg. control,0.1860471120199583,0.994556160752604
2022-08-25,Position_2,3,Neg. control,0.0,0.5610518631224714
2022-08-25,Position_2,4,Neg. control,0.1672739585903113,0.9791878719073364
