strain,exp_folder,Position_n,run_number,Cell_ID,mKate_stain_index,mNeon_inside_cell_stain_index,mNeon_inside_mtNet_stain_index
yCO381,2022-09-01,Position_21,2,1,0.0,0.9432496917132145,0.36954844632088163
yCO381,2022-09-01,Position_21,2,2,0.0,0.6277349901334776,0.19531042069677376
yCO381,2022-09-01,Position_21,2,3,0.35271119094555614,0.8649595895963959,0.17585072357328285
yCO381,2022-09-01,Position_22,2,1,0.0,,
yCO381,2022-09-01,Position_22,2,2,0.18657542286853052,,
yCO381,2022-09-01,Position_22,2,3,0.0,,
yCO381,2022-09-01,Position_22,2,4,0.0,0.8416090043785135,0.17553941338870382
yCO381,2022-09-01,Position_23,2,1,0.0,,
yCO381,2022-09-01,Position_23,2,2,0.0,,
yCO381,2022-09-01,Position_23,2,3,0.0,1.223556517595546,0.593046855988343
yCO381,2022-09-01,Position_23,2,5,0.0,,
yCO381,2022-09-01,Position_24,2,1,0.34586652930682266,,
yCO381,2022-09-01,Position_24,2,3,0.35561867759322613,,
yCO381,2022-09-01,Position_24,2,4,0.0,,
yCO381,2022-09-01,Position_24,2,5,0.0,0.5831091375229855,0.0
yCO381,2022-09-01,Position_25,2,1,0.0,,
yCO381,2022-09-01,Position_25,2,2,0.0,0.8384349051419205,0.17531027857626214
yCO381,2022-09-01,Position_25,2,3,0.0,1.1923480567728832,0.36412345404215757
yCO381,2022-09-01,Position_26,2,1,0.0,,
yCO381,2022-09-01,Position_26,2,2,0.0,0.8174417523029789,0.18314073212490142
yCO381,2022-09-01,Position_26,2,3,0.18225396055777507,,
yCO381,2022-09-01,Position_27,2,2,1.0747362942888472,0.7700067944814575,0.0
yCO381,2022-09-01,Position_27,2,3,0.0,,
yCO381,2022-09-01,Position_27,2,4,,,
yCO381,2022-09-01,Position_28,2,1,0.35316918377379214,,
yCO381,2022-09-01,Position_28,2,2,0.38760136897955366,,
yCO381,2022-09-01,Position_28,2,3,0.0,,
yCO381,2022-09-01,Position_28,2,4,0.0,1.219528587736529,0.5893951277295624
yCO381,2022-09-01,Position_30,2,1,0.0,,
yCO381,2022-09-01,Position_30,2,2,0.0,0.5528339748461282,0.18948258112448604
yCO381,2022-09-01,Position_30,2,3,0.0,,
yCO381,2022-09-01,Position_30,2,4,0.0,,
yCO381,2022-09-01,Position_31,2,1,0.0,0.835048096439077,0.18442045462700526
yCO381,2022-09-01,Position_31,2,2,0.5301728288987957,,
yCO381,2022-09-01,Position_31,2,3,0.5264242082921701,,
yCO381,2022-09-01,Position_31,2,4,0.34818218655538213,,
yCO381,2022-09-01,Position_32,2,1,0.0,,
yCO381,2022-09-01,Position_32,2,3,0.0,,
yCO381,2022-09-01,Position_32,2,4,0.0,0.9157083283999167,0.38829357744220905
yCO381,2022-09-01,Position_33,2,1,0.0,,
yCO381,2022-09-01,Position_33,2,2,0.0,,
yCO381,2022-09-01,Position_33,2,3,0.0,1.1350078590867863,0.5538373651667097
yCO381,2022-09-01,Position_33,2,4,0.0,,
