medium,ploidy,replicate,exp_folder,Position_n,Cell_ID,category,mKate_stain_index,mNeon_inside_cell_stain_index
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_47,1,SCD,2.991836395453596,2.7386818849558767
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_47,2,SCD,2.844859745368224,2.923402873816169
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_48,1,SCD,3.562168762591799,2.463818401953633
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_48,2,SCD,3.5931874198451443,2.869794830018444
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_49,1,SCD,2.886963962863308,2.897179822815584
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_49,2,SCD,2.875684132519408,2.864655661255608
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_50,1,SCD,3.337042946898974,3.088895712865087
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_0nM,Position_50,2,SCD,3.183517802980308,2.844542718914885
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_1,2,SCD,3.561170066014377,3.226326966631357
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_1,3,SCD,3.4258789631054944,2.8889089481165606
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_2,1,SCD,2.6973174948426144,2.713582915999345
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_2,2,SCD,2.807526188142768,3.390898272693021
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_3,1,SCD,2.8678708223763696,3.598069234167313
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_3,2,SCD,3.192259046304672,3.583495815471557
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_4,1,SCD,2.562432700516837,2.394965080869448
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_4,2,SCD,2.918387371363384,3.260431605533059
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_5,2,SCD,2.8507744820816705,2.64792327249272
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_5,3,SCD,3.3448994393321967,3.7930887685017782
SCD,Diploids,2020-02-18_Diploid_SCD_1,2020-02-18_ASY15-1_15nM,Position_6,1,SCD,3.170264631155638,2.786969164305119
